nuts2_code,country,Environmental_Health,Food_Physical_Health,Housing,Transportation,Financial_Institution_Access,Insurance_Access,Broadband_Access,Research_University_Density,RD_Facility_Density,Community_College_Density,No_Highschool_Completion,Mean_Years_Schooling,Preschool_Enrollment,Juvenile_Felony_Rates,Higher_Ed_Enrollment,Disconnected_Youth,Economic_Connectedness,Social_Clustering,Support_Network_Ratios,Civic_Organization_Density,Real_GDP,GDP_Growth,GDP_per_capita,Jobs_Productivity,Worker_Productivity,Total_Jobs,Youth_Employment,Employment_Population_Ratio,High_Skill_Jobs,Overall_Unemployment,Youth_Unemployment_Gap,Labor_Force_Participation,Youth_Participation_Gap,Median_Earnings,Gender_Earnings_Gap
AT01,AT,14.34487973638504,81.99330040259227,13.76575105943667,46.84008547369584,2.3956649599780055,17.3599195226133,67.78280860851314,44.57281207857644,75.39049853189294,21.4677264077638,35.948994522090416,12.567728857757599,5.190767509394501,42.85213940686564,36.64824376443194,12.552581275608043,66.89940778166572,29.402783151833756,59.220599253019635,7.531159431250445,76.88490315310855,56.44644216643787,77.68135848673427,5.950193988818953,82.9643016734703,74.72467331008114,10.70110054149832,7.364586027386066,3.2683078632041007,15.695937387580495,93.95552737443985,96.69416577166942,61.460907303832,56.636160379760156,86.18569560617462
AT02,AT,98.79994470547777,96.47426518605897,37.24381207950942,38.65481099053735,22.62287865882374,59.864542497949024,91.3047977363765,0.2081572892478567,51.51059128676286,68.73378428293407,54.16821457951797,97.6747214272445,15.78858564256398,30.080826248595972,63.43043085765564,60.999163396530484,31.87893353459956,69.48167319274592,28.820179863559037,15.808160152326634,97.43621769095505,15.442706838013132,18.590649276263484,16.84631658590702,51.50740085345347,60.830576375202085,27.223854566782446,53.60347101135231,10.584755813091762,22.02476690964723,89.07187535472085,75.21592914582006,64.46998432734526,66.48435223882771,3.0479927476322444
AT03,AT,77.9909774135557,94.78456003933677,95.73058289836858,37.5119275728209,27.451453125703573,93.73466233205488,85.43263185443644,8.734470572957175,92.77477465937201,36.10900857343518,21.41361140449518,7.053061342127654,51.44486384344772,16.72928310971522,68.64684419793488,90.18311741513907,27.49928432786343,18.74281292422877,75.9074616918547,8.350247093958973,68.80800054059767,17.20635259203086,65.53869267978783,71.9554529026747,36.66210128906609,15.269963406749486,22.789125715461967,93.20680102988224,17.815374605651623,49.77979613671124,13.858133658052695,57.53757312934072,20.758223224834804,51.912474296372736,42.3938966294913
AT04,AT,46.35193401417389,89.53003556078593,82.64141807303486,91.76062751544568,42.32585757772503,16.924968936003705,9.099001428179232,51.0347037969191,81.54578725746016,31.484240392512895,23.591444427371655,84.470534739748,78.36002211895517,14.092245333428155,67.29944958811875,78.86343951815145,22.77848069828665,79.84543415116833,58.644775169756755,72.14072215041314,36.56332057570144,1.2494547349271579,58.282691374166106,70.1179205686009,40.124747402914906,61.73538821626138,71.77749977894679,86.8400107529692,16.09696452036199,46.07070402465568,98.10848819484876,48.34681174791251,81.2100919671242,21.17413981320957,30.99435071805351
AT05,AT,37.64318900336955,22.82660655346922,37.76660134596212,98.76382869580448,64.33255681114484,74.78036764796732,27.8700787319911,0.6754786883668484,62.75812887787515,67.71633196634149,10.73378484942662,21.37436832348959,11.217287611960302,39.544408371047965,80.02250651066191,24.76796323841164,28.98799031556174,63.22848657631292,3.094409991576541,25.52173780736383,83.6286499787803,17.70247753403901,43.13211674500232,20.37824738731696,92.98813952069452,57.35961032200534,90.50129371023426,95.04685906358449,53.44671415055158,98.43893027914416,35.92208221950853,22.08219038021918,26.665270607299917,42.561506760437304,79.56591705795432
AT06,AT,95.16708381882904,87.62452379076366,16.570924761948437,49.840937037917875,15.811386128166804,0.9923468387165624,13.207921214034425,55.90040082112675,84.22049949116987,76.42107025716481,14.27502502285386,30.023039451681733,14.701464940226462,94.44450135860237,99.01185048244314,82.29085792976036,3.1609599572566593,89.16439098303877,68.18315463140885,25.984652933393193,52.996725257174795,96.72574091311196,67.34025484051332,96.99213041366164,55.314215352375015,45.62896632577132,7.093617293914434,90.37071504075679,91.58981817773623,71.76420622740056,30.274448468687588,36.21903135048873,89.68037917519526,54.8431906752181,74.39532085580174
AT07,AT,57.278510951312725,64.41349106299981,34.32099004380785,87.9020501454097,75.9004734873905,49.080781107149406,56.192844013864715,44.80553980493548,18.910168482037516,97.55261612880346,23.867941215763157,42.37639766267913,97.66365136559982,58.9344838974971,96.86563406909359,84.91107846107286,51.216269481784394,10.141817939514775,85.82933467721458,77.58387563270705,14.827627485591488,75.80682213634067,59.78190661116389,98.00289575843686,94.0368417369784,67.83988747224079,84.34163909348665,70.73056426018297,68.70077771310417,53.888246641592154,72.64565113393598,85.63952409884081,97.35807853571232,62.323961559890726,82.22274060803207
AT08,AT,75.58195681626889,65.56622039307152,22.697221536415967,63.545534848190165,14.417262664588549,4.744233111661833,59.86948575816638,48.38305796472769,54.779794524097994,21.083416176455692,20.841767690216393,56.89378103652897,0.5972102374696697,58.34645048273819,76.19047152343285,94.96391729564179,5.867108393004827,98.02546879665438,29.096657832304306,36.10229087487776,19.678404074604895,25.712225436753645,95.46752300879643,69.63958899714012,67.25470743844771,93.12296309703231,8.714203608951221,11.545166486077207,21.711516433822588,19.841026704090268,68.40504345302482,25.801848239607583,74.64660830413499,94.78504054588612,74.6797731641729
AT09,AT,69.01702944696929,77.74822891011529,27.674338278473087,95.50141264586641,39.55475514512023,95.50228144927563,4.5975381077290045,47.999741386897135,91.45195604636996,36.83670420045906,46.69056258150906,58.3833794809275,52.154926583716986,88.87218117831902,75.67077138019874,74.66153888421911,25.780741844186792,52.31707064310993,16.16331961216423,30.127625300377158,44.78437408347678,30.48146150929223,79.82381689452068,0.5546559730384204,29.64932768007088,52.27524235905534,86.54538144779316,83.35345032141282,76.40745897893395,31.260736834602344,54.36368055048861,65.80820371404637,95.22641364521141,75.24652572361848,84.67289138244732
AT10,AT,61.20266976449471,29.735274025417457,53.919444278781704,0.28372372774919663,99.40109241465088,8.164794347645831,21.299912935778487,15.317520173720267,89.72156089126261,23.38216713223058,74.8404963343629,76.4761795259823,10.224495525581478,87.46319265697188,58.19475251627385,66.78499808532405,18.950084180210414,11.874941558587926,14.952839579390087,75.38962713588847,75.96202787442789,64.66163317091201,93.73894005145304,15.300433413261361,84.92705462054472,36.317682802300446,26.467498880524374,79.40304759956472,31.732505572440985,6.80008645676341,5.564459129909816,76.29836036106124,15.40844978087199,32.33201842098441,87.03957696277399
